ISO,ID,SMONTH,SYEAR,AUTH,LOC,LATNS,LATD,LATM,LATS,LONEW,LOND,LONM,LONS,ALT,CLIM,PAR,PAR2,MODE,MODE2,TEXT,TEXT2,DEPTH,WEAT,WEAT2,REST1,REST2,PARREM,LNDREG,LNDTOP,PHYS,SLP,POS,SLF,ASP,KND,PTRN,VAR,ROCK,STON,STSI,STSH,CRA,SEA,SALT,ALKALI,SODE,WAKE,WADE,WAUP,WALO,STAUP,STALO,STAPE,RUN,FLFR,FLNA,DRAIN,DRAINI,MOIDU,MOIDL,MOIMU,MOIML,MOIWU,MOIWL,ERT,ERT2,ERD,ERD2,AGGR,MASS,LUT,CROP,IRR,ROT,IMP,VET,VES,VED,ADPC,ADMM,COMNAME,DESCR,REMARKS,EDITDATE,VERIFIED
"AU",11,9,1966,"Hubble G.D., CSIRO Division of Soils","Chinchilla District, Queensland","S",26,38,,"E",150,35,,305,"Cfa","SI",,"X",,"LO","CL",,"P",,,,"siltstone of Jurassic age","UP","U","plain",0,,,,"G","I",,"0","0",,,"0","0","0","0",,"P",,,,23,46,"S","S",,,"1",,0,23,23,170,,,,,,,,,"GR",,"0",,,,,"VEGETATION: native vegetation: grassy forest of Eucalyptus crebra (narrow-leaf ironbark), some Angophora costata (rusty gum) and Casuarina luehmannii (bull oak), scattered Callitris columellaris (cypres pine), Dodonaea viscosa (hop bush), and Helichrysum diosmifolium, and sparse grass cover, mainly Aristida spp. (wire grass).

LAND USE: profile site is in a road reserve in an area used for sparse grazing of native pasture.",0,0,,,"REFERENCE: Handbook of Australian Soils, p. 177-179","03/25/03 00:00:00","OSP"
"AU",12,11,1966,"Bettenay E., CSIRO Division of Soils","Merredin District, Western Australia","S",31,32,,"E",118,5,,259,"Bsa","W1",,"X",,"LO",,,"H",,,,"Lake parna","VA","F","Baandee depositional surface (loam sheet extending from lake level in the valley floor to lower valley side)",,"L",,,,,,"0","0",,,"0",,,,120,"N",,,,,,"M","M",,,"4",,0,120,,,,,,,,,,,,,,,,"WX","P","VEGETATION: native vegetation: woodland of Eucalyptus melanoxylon (black morrel), E. oleosa var. Longicornis (morrel), Melaleuca pauperiflora and M. quadrifaria (boree) with Atriplex sp., Nitraria sp., Bassia sp.

LAND USE: not cleared. Similar soils are used for cropping, but are liable to scalding due to redistribution of salts after clearing.",0,0,,,,"03/26/03 00:00:00","OSP"
"AU",13,4,1966,"Newell J.W., Dept. of Agriculture of Victoria","Horticultural Research Station Tatura, Goulburn Region, Victoria","S",36,26,,"E",145,15,,113,"Cfa","Y0",,"A",,"LO","CL",,"P",,,,,"AP","F","near-floodplain of prior stream",1,,,,,,,"0","0",,,,,"0","0",90,"N",,,,,,"M","M","N",,"4",,,,0,90,,,,,,,,,"FA","FR","C","0","IC",,,"VEGETATION: Original vegetation savannah woodland of Eucalyptus hemiphloia (grey box).",0,0,,,,"03/26/03 00:00:00","OSP"
"AU",14,11,1966,"Dimmock G.M., CSIRO Division of Soils","Avon Valley, Western Australia","S",31,53,,"E",116,47,,274,"Csa","M2",,"X",,"CL",,,"H",,,,"Precambrium gneiss intruded by quartz veins and basic dykes","PU","U","gentle slope",4,"U","V",,,,,"0","WS",3.00000000e+00,,"0","0","0","0",90,"N",,,,,,"S","M","N",,"2",,,,0,90,,,,,,,,,"GR",,"0",,,"WX","P","VEGETATION: savannah woodland of Eucalyptus loxophleba (York gum), Acacia acuminata (jam), with fairly complete grass cover of Danthonia spp., Stipa spp. and some mosses.",0,0,,,,"03/26/03 00:00:00","OSP"
"AU",15,11,1966,"McGarity J.W., Univ. of New England","Coastal Lowlands, New South Wales","S",30,22,,"E",153,15,,15,"Cfa","SH",,,,"LO",,,"P",,"M",,"weakly metamorphosed Paleozoic shale","HI","R","lower slope above a creek terrace",,"L",,"E",,,,"0","0",,,"0","0","0","0",180,"N",,,,,,"M",,"N",,"3",,0,100,100,180,,,,,,,,,"AF",,,,,"FS",,"VEGETATION: native vegetation: rainforest of Eucalyptus grandis (flooded gum) and Syncarpia glomulifera (turpentine).

LAND USE: Forestry. Cleared land is used for grazing of dairy and beef cattle with some limited cropping to maize. Banana plantations have been established in suitable situations.",0,0,,,,"03/28/03 00:00:00","OSP"
"AU",16,10,1966,"Jessup R.W., CSIRO Division of Soils","Whyalla, South Australia","S",32,52,,"E",137,33,,30,"BSh","Y0",,"A",,"MX",,,,,,,,"UP","F","flat site on gently sloping plain",0,"F",,,,,,"0","0",,,"0","0","0","S",100,"N",,,,,,"H",,"N",,"4",,0,100,,,,,,,,,,,"GR",,,,,"SX",,"VEGETATION: shrub steppe of Atriplex vesicaria (saltbush) with scattered trees of Casuarina cristata (blackoak), Acacia sowdenii (western myall) and Myoporum platycarpum (false sandalwood).

LAND USE: sheep grazing",0,0,,,,"03/28/03 00:00:00","OSP"
"AU",17,7,1966,"Sleeman J.R., CSIRO Division of Soils","25 km W of Binalong, South-west Slopes, New South Wales","S",34,43,,"E",148,20,,472,"Cfa","GR",,"X",,"CL",,180,"P",,,,,"PU","R","top of a spur",2,"C",,"SW",,,,"0","0",,,"0","0","0","0",180,"N",,,,,,"M",,"N",,"4",,0,90,,,,,,,,,,,"PA",,,,,"WX",,"VEGETATION: native vegetation: tall woodland of Eucalyptus albens.

LAND USE: Sheep grazing on improved pasture with cropping every five years.",0,0,,,,"03/28/03 00:00:00","OSP"
"AU",18,11,1966,"Thompson C.H., CSIRO Division of Soils","Nambour District, Queensland","S",26,41,,"E",152,57,,37,"Cfa","A0",,"X",,"LO",,174,"P",,,,,"HL","U","ridge crest",,"C",,,,,,"0","0",,,"0","0","0","0",94,"N",,,,,,,,"N",,"4",,0,100,,,,,,,,,,,,"VE",,,"IC","FX",,"LAND USE: horticulture with  pineapples, citrus and vegetables.",0,0,,,,"03/28/03 00:00:00","OSP"
"AU",19,12,1959,"Thompson C.H., CSIRO Division of Soils","Samford District, Queensland","S",27,22,,"E",152,53,,59,"Cfa","Y0",,"A",,"LO",,,"P",,,,"sandy alluvium over mudstone with sedimentary clay bands and gravels underneath (Thompson, July 1983)","HL","U","low hilly terrain",3,"M","V",,,,,"0","0",,,"0","0","0","0",98,"N",,,,,,"M","M",,,"3",,0,46,46,98,,,,,,,,,"AH","MXX",,,"IC","FX","C","VEGETATION: native vegetation: grassy forest of Eucalyptus acmenioides (stringybark), E. intermedia (bloodwood), E. propinqua (gum), E. crebra (ironbark), Tristania conferta (brush box), with a light grass cover of Themeda sp., Imperata sp., Digitaria sp.

LAND USE: land has been cleared for experimental farm",0,0,,,,"03/31/03 00:00:00","OSP"
"AU",20,5,1966,"Blackburn G., CSIRO Division of Soils","South-east District, South Australia","S",36,52,,"E",140,32,,43,"Csb","L0",,"X",,"SA",,,,,,,"Pleistocene dune limestone (calcarinite)","CB","U","slope of stranded beach ridge",3,"S",,"W",,,,"LR","WS",,,"0","0","0","0",70,"N",,,,,,"H","R","N",,"4",,0,70,,,,,,,,,,,"GR",,"0",,"IC","WX","C","VEGETATION: natural vegetation: originally savannah with rare specimens of Melaleuca lanceolata (pubescens) (dry-land tea-tree). 

LAND USE: local land use is characterized by livestock production on improved pastures.",0,0,,,,"03/31/03 00:00:00","OSP"
"AU",21,10,1952,"Thompson C.H., CSIRO Division of Soils","Darling Downs, Queensland","S",27,40,,"E",151,42,,556,"Cfa","BT",,"X",,,,,"H",,,,"Inter-basaltic red clays and underlying kaolinized basalt","HI","R","broad saddle",,"C",,,,,,"0","0",,,"0","0","0","0",210,"N",,,,,,"H",,"N",,"4",,,,0,210,,,,,,,,,"A","CEW","0",,"IC","WX","C","VEGETATION: native vegetation: grassy eucalypt forest of Eucalyptus crebra (narrow-leave ironbark), and E. melanophloia (silver-leaf ironbark) with ground cover of native grasses including Bothriochloa decipiens (pitted blue grass), Sporobolus sp. (rats tail) and Aristida sp. (wire grass).",0,0,,,,"03/31/03 00:00:00","OSP"
"AU",22,10,1966,"Thompson C.H., CSIRO Division of Soils","Gympie District, Queensland","S",26,11,,"E",152,51,,61,"Cfa","H0",,"A",,"CL",,,"P",,,,"fan alluvium of locally transported material derived from Permian phyllites","HI","H","basal hill slope",,"L",,,,,,,,,,,,"0","0",,"N",,,,,,"M","R","N",,"3",,0,60,60,240,,,,,,,,,"PA",,,,"IC","FE",,"LAND USE: Dairying with associated pig raising and some cash crops (e.g. french beans). At sample site there is a rough pasture of kikuya, blady grass and white clover.",0,0,,,,"03/31/03 00:00:00","OSP"
"AU",23,10,1958,"Blackburn G., CSIRO Division of Soils","Near Bordertown, Upper South-east, South Australia","S",36,17,,"E",140,50,,107,"Csb","Y0",,"X",,"CL",,,,,,,"Cenozoic sediments. Pliocene sandy deposits (Parilla sand) is important locally, probably of fluvio-lacustrine origin, marginal to estuarine. It may be overlain by clayey sedidements of Pleisticene age, possibly lacustrine or aeolian.","UP","F","very gentle slope",1,"F","S","S",,,,"0","0",,,"0",,"0","M",155,"N",,,,,,"S","S","N",,"2",,0,155,,,,,,,,,,,"A","CE",,,"IC","WS",,"VEGETATION: native vegetation: savannah woodland of Casuarina luehmannii (bull oak), Eucalyptus leucoxylon (South Australian blue gum) and E. largiflorens (river box).

LAND USE: crops and pasture (cereal cropping (mainly wheat and barley) with some volunteer or sown pasture",0,0,,,,"04/01/03 00:00:00","OSP"
"AU",24,9,1966,"Hubble G.D., CSIRO Division of Soils","Bundaberg Sugar Experiment Station, Bundaberg District, Queensland","S",24,51,,"E",152,24,,27,"Cfa","BT",,"X",,,,,,,,,"Quaternary basalt flow","UP","U","broad crest of low rise",,"C",,,,,,"0","0",,,"0","0","0","0",160,"N",,,,,,"M","S","N",,"3",,0,30,30,160,,,,,,,,,"AH","SUC",,,"IC",,,"VEGETATION: native vegetation: originally vine scrub 18-21 m high, including Flindersia collina, F. australis (crows ash), F. schottiana, Harpullia pendula (tulipwood), Ficus macrophylla (Moreton Bay fig), Pleiogynium cerasiferum (Burdekin plum), and Vitex lignum-vitae.

LAND USE: experimental station since 1910; previously sugar cane farm. Site on grassed area near buildings.",0,0,,,,"04/01/03 00:00:00","OSP"
"AU",25,10,1954,"Northcote K.H., CSIRO Division of Soils","Barossa District, South Australia","S",34,42,,"E",139,4,,396,"Csb","SC",,"X",,"SA","CL",,"P",,"M",,"Paleozoic micaschist of the Kanmantoo Group","HL","U","moderate slope",,"S","C",,,,,"0","0",,,"0","0","0","0",104,"N",,,,,,"M","M","N",,"3",,0,104,,,,,,,,,,,"SH",,,,,"WS",,"VEGETATION: savannah woodland of Eucalyptus camaldulensis (red gum) and Themeda australis (kangaroo grass).

LAND USE: sheep grazing of subterranean clover, annual grasses and cape weed.",0,0,,,,"04/02/03 00:00:00","OSP"
"AU",26,7,1966,"Sleeman J.R., CSIRO Division of Soils","Canberra, Australian Capital Territory, New South Wales","S",35,12,,"E",149,4,,594,"Cfb","I6",,"X",,,,,,,,,"Mount Painter porphyry","HL","R","top of a rise",5,"C",,,,,,,,,,,,"0","0",92,"N",,,,,,"M","M","N",,"3",,0,92,,,,,,,,,,,"PA",,,,"IC","WS",,"VEGETATION: native vegetation is woodland of Eucalyptus (Eucalyptus melliodara, E. blakelyi, Stipa spp. Danthoria spp.), now cleared for improved pasture.

LAND USE: grazing on improved pasture",0,0,,,,"04/28/03 00:00:00","OSP"
"AU",27,7,1966,"Sleeman J.R., CSIRO Division of Soils","Canberra, Australian Capital Territory","S",35,12,,"E",149,5,,594,"Cfb","I6",,"C",,,,,,,,,"porphyry","HL","U","very gentle slope",2,"M",,"N",,,,,,,,,,"0","0",96,"N",,,,,,"M","M","N",,"3",,0,96,,,,,,,,,"P",,"PA",,,,"IC","WS",,"VEGETATION: woodland of Eucalyptus (Eucalyptus melliodora, E. blakelyi, Stipa spp., Danthonia spp.), now cleared for imporoved pasture.

LAND USE: grazing.",0,0,,,,"04/28/03 00:00:00","OSP"
"AU",28,10,1966,"Rowan J.N., Soil Conservation Authority Victoria","Cobbobboonee, Glenelg Region, Victoria","S",38,0,,"E",141,24,,116,"Cfb","BT",,"X",,,,,,,,,"basalt, probably basal Pleistocene","PU","U","moderately dissected plateau",2,"S",,,,,,,,,,,,"0","0",160,"N",,,,,,"M","M","N",,"3",,0,92,92,160,,,,,,,,,"AF",,,,"IC","WS",,"VEGETATION: native vegetation: dry sclerophyll forest of Eucalyptus obliqua (messmate), E. vitraea (peppermint gum), E. viminalis (manna gum) with Banksia marginata and Pteridium esculentum. 

LAND USE: cleared hardwood areas are being planted to Pinus radiata. Some mixed farming, dairying, and horticulture. Land has been cleared for millable native hardwood (Eucalyptus obliqua) production.",0,0,,,,"04/28/03 00:00:00","OSP"
"AU",29,11,1966,"McGarity J.W., Univ. of New England","Northern Tablelands, New South Wales","S",30,32,,"E",151,38,,1006,"Cfb","S0",,"L",,"CL",,,,,,,"lake sediments, principally fine-textured","AT","F","recent terrace 3 m above present floodplain",2,"S","S","E",,,,,,,,,,"0","0",160,"N",,,,,,"S",,"N",,"2",,,,0,185,,,,,,,,,"AH",,,,"IC","WS",,"VEGETATION: originally Eucalyptus viminalis (ribbon gum) and E. nova-anglica (peppermint gum).

LAND USE: profile site is on edge of, but not in, an agronomic trial area. In the surrounding district the soil is used fror grazing on native and improved pastures with limited cropping to cereals for forage.",1,1,,,,"04/29/03 00:00:00","OSP"
"AU",30,,1968,"Dept. of Soil Science, Univ. of Adelaide","Waite Agricultural Research Station, Adelaide, South Australia","S",34,58,,"E",138,39,,110,"Csa","S0",,"A",,"CL",,,,,,,"outwash fan deposits (clays and gravel), bordering uplifted Precambrium sedimentary rocks of Mount Lofty Ranges","GO","U","long slope",5,"S","S","W",,,,,"0",,,"0","0","0","0",98,"N",,,,,,"M",,"N",,"4",,,,0,98,,,,,,,,,"AH",,,,"IC","WS",,"VEGETATION: original vegetation comprised Eucalyptus odorata (peppermint gum) with Danthonia, Stipa and Themada australis spp.

LAND USE: land has been clearde for experimental station.",0,0,,,,"04/29/03 00:00:00","OSP"
"AU",31,10,1966,"Thompson C.H., CSIRO Division of Soils","Beerwah, near Nambour, Queensland","S",26,51,,"E",153,1,,12,"Cfa","A0","W1","A",,"SA","CL",,,,,,"sand from upslope","UP","H",,1,"L",,,,,,,,,,,,"0","0",110,,,,,,,"S","S",,,"1",,0,55,55,110,,,,,,,,,"WO",,,,,"WS","S","LAND USE: vegetation type originally grassy forest grading to woodland of Melalueca quinquenervia (broad-leaf tea-tree), Banksia serrata, Leptospermum sp., Callistemon sp., Hakea gibbosa, Xanthorrhoea media. Deficiencies of N, P, K, S, Mo, Cn and Zn have been observed where this soil is used for pasture production.

LAND USE: forest reserve leased for sparse grazing",1,0,,,"MORPHOLOGY: In horizon Ah1 a little charcoal is found.
The mottles, reported for horizon Bt(g), can not be seen on monolith.","05/01/03 00:00:00","OSP"
"AU",32,9,1966,"Blackburn G., CSIRO Division of Soils","Southeast District, South Australia","S",36,58,,"E",140,34,,43,"Csb","Y0",,"S",,"SA",,,,,,,"Quaternary aeolian quartz sand","CB","U","slope",,"S",,"E",,,,,,,,,,,,210,"N",,,,,,,,,,"5",,,,0,210,,,,,,,,,,,,,,"WS",,"VEGETATION: woodland of Eucalyptus baxteri (stringybark), Banksia ornata (honey-suckle), Pteridium esculentum (bracken fern) and sedges",0,0,,,,"05/02/03 00:00:00","OSP"
"AU",33,11,1966,"Monteith N.H., Univ. of New England","Point Lookout, Armidale, Northern Tablelands, New South Wales","S",30,30,,"E",152,30,,1463,"Cfb","BT",,"A","C","LO",,,,,,,"Tertiary basalt","VA","F","gently sloping valley floor in strongly rolling terrain west of dissected scarp",2,"S",,,,,,,,,,,,"0","0",183,"N",,,,,,"M","M","N",,"3",,0,180,,,,,,,,,,,"WO",,,"0",,"W",,"VEGETATION: woodland of Eucalyptus pauciflora (snow gum) and Poa sieberiana.

LAND USE: New England National Park. Extensive cattle grazing.",1,0,,,,"05/02/03 00:00:00","OSP"
"AU",39,6,1986,"McGarity J.W.","New South Wales, Gunyawarildi Wiaralda, McMaster Research Station","S",29,27,,"E",150,32,,408,,"BT","A0","C","C","CL","CL",,,,,,"Basaltic colluvium mixed with underlying Eocene feldspathic fine sandstone","LA","R","slope",4,"M","V","W","G","L",4,"0","0",,,"L","P",,,135,"P",,100,105,,,"S","M","N",,"2",,0,135,,,,,"S",,"S",,,,"GR",,,,"IC","WS",,"VEGETATION: savannah woodland cleared to natural grassland; dominant species Eucalyptus sp, Medicago, Medics, Thistle, Aristida, Danthonia, and Panicum.

LAND USE: site is grazed. Locally cultivation of wheat, sorghum, linseed, and sunflower. Site never cultivated or fertilized.",1,0,,,,"05/02/03 00:00:00","OSP"
"BE",1,10,1965,"De Mooy C.J.","Province of Liège, Land of Herve, state forest of Grunhault, north of Bilstain and west of Eupen","N",50,37,,"E",5,55,,285,"Cfb","Y0",,"W",,"SI",,,"P",,,,"loess overlying Carboniferous clays and pebbles, and Aachian sands at an approximate depth of 3 m.","PU","U","summit",1,"C",,,,,,"0","0",,,"0","0","0","0",127,"P",127,,127,,,"M","M","N",,"2","3",,,0,125,,,,,,,,,"AF",,,,,"FD","S","VEGETATION: state forest with European oak and birch, admixture of Sorbus, Myrtillus and Pteris aquilina. Ferns on forest floor.

LAND USE: state forest of mediocre quality.",1,0,,,"REFERENCE: Mitteilungen de Deutschen Bodenkundlichen Gesellschaft, Band 3, Göttingen 1965, pp. 96 (profile 6)","03/21/03 00:00:00","OSP"
"BE",2,10,1965,"De Mooy C.J.","Province of Liège, Land of Herve, state forest of Grunhault, north of Bilstain and west of Eupen","N",50,37,,"E",5,55,,285,"Cfb","Y0",,"W",,"SI",,,"P",,,,"loess overlying Carboniferous clays and pebbles, and Aachenian sands at an approximate depth of 40 cm","PU","F","summit",1,"C","S",,,,,"0","0",,,"0","0","0","0",106,"N",,,,,,"M","V",,,"0","1",,,0,100,,,,,,,,,"AF",,,,,"FS","S","VEGETATION: state forest with European oak (Quercus) and pine trees (Pinus), admixture of Myrtillus, Pteris aquilina, Picea, and Deschampsia.

LAND USE: state forest of mediocre quality.",1,0,,,"REFERENCE: Mitteilungen de Deutschen Bodenkundlichen Gesellschaft, Band 3, Göttingen 1965, pp. 105-107 (profile 9)","03/24/03 00:00:00","OSP"
"BE",3,9,1981,"Mokma D.L. & P. Buurman","Meerhout, Province of Antwerpen","N",51,9,17,"E",5,4,17,28,"Cfb","Y0",,"S",,"SA",,,"P",,,,"cover sand of young Pleistocene age","UP","F",,0,,,"NE",,,,"0","0",,,"0","0","0","0",155,"N",,,,,,"M","M","N",,"1",,0,97,,,,,,,,,,,,,,,,,,,1,0,,,"REFERENCE: Mokma D.L. and P. Buurman. 1982. Podzols and podzolization in temperate regions. ISM Monograph 1. International Soil Museum, Wageningen. Profile B-102.","03/24/03 00:00:00","OSP"
"BE",4,9,1981,"Mokma D.L. & P. Buurman","Meerhout, Province of Antwerpen","N",51,9,2,"E",5,3,51,28,"Cfb","Y0",,"S",,"SA",,,"P",,,,"cover sand of young Pleistocene age","UP","F",,0,,,"NE",,,,"0","0",,,"0","0","0","0",158,"N",,,,,,"M","M","N",,"4",,0,155,,,,,,,,,,,"AF",,,,,,,,1,0,,,"REFERENCE: Mokma D.L. and P. Buurman. 1982. Podzols and podzolization in temperate regions. ISM Monograph 1. International Soil Museum, Wageningen. Profile B-101.","03/25/03 00:00:00","OSP"
"BF",1,9,1997,"Lehmann A.","Gourma Plain, 12km S of Fada n'Gourma, near Kouaré on the experimental station of INERA","N",11,58,15,"E",0,18,41,300,,"GR",,"X",,"LO",,,"H",,,,"Basement complex, Precambrium granite, Dahomeyan Series","PE","F",,1,"F","S","S",,,,"0","0",,,"0",,"0","0",88,"N",,,,,,"M","M","N",,"3",,0,120,,,,,,,,,,,"FA",,,,,"H",,"VEGETATION: wooded savannah",1,0,,,,"04/07/04 00:00:00","OSP"
"BJ",1,9,1997,"Lehmann A.","Attotinga (Sous-Préfecture d'Allada), 8 km NW of Allada","N",6,43,,"E",2,6,,100,"Af","Y0",,"M",,"SA","CL",,,,,,"""Continental Terminal"" deposits","CT","U","long interfluve",2,"U","C",,,,,,,,,,,,,100,"N",,,,,,,"M","N",,"4",,0,100,,,,,,,,,,,"FA",,,"SS","IC",,,"LAND USE: fallow for 8 years; many bushes with some palm trees.",1,0,,,"REFERENCE: Fritz (1996): catena IIa/7 (ISRIC Library S50-29)","05/06/03 00:00:00","OSP"
"BJ",2,9,1997,"Lehmann A.","Agouagon (Sous-Préfecture de Glazoué), 8 km east of Glazoué","N",7,59,14,"E",2,18,29,200,"Af","I6","GR","X","X",,,,,,,,"Parent material 1: ""embréchite porphyroïde à ferro-magnésiens""","PU","F","long interfluve",2,"C","C",,,,,,,,,,,,,100,"N",,,,,,"M",,"N",,"4",,0,100,,,,,,,,,,,"FA",,,,,,,"LAND USE: old fallow of grasses with some trees. Some cultivation with voandzou (Vigna subterrana).",1,0,,,"REFERENCE: Fritz (1996): catena V/4 (ISRIC Library S50-29)","05/06/03 00:00:00","OSP"
